転換率シナリオ,戦略シナリオ,売上,粗利,LTV,目標達成率,目標達成
悲観（現状維持）,ベースケース,5127300.0,-2723495.0,4936140.0,11.394,×
悲観（現状維持）,シナリオA（S1特化）,5864400.0,-2386535.0,5778540.0,13.032,×
悲観（現状維持）,シナリオB（ボリューム）,5972940.0,-2360291.0,5601393.0,13.2732,×
悲観（現状維持）,シナリオC（価格帯シフト）,5781375.0,-2382687.5,5651167.5,12.8475,×
現実的（Shopify移行後）,ベースケース,25636500.0,6382525.0,24680700.0,56.97,×
現実的（Shopify移行後）,シナリオA（S1特化）,29322000.0,8067325.0,28892700.0,65.16,×
現実的（Shopify移行後）,シナリオB（ボリューム）,29864700.0,8198545.0,28006965.0,66.366,×
現実的（Shopify移行後）,シナリオC（価格帯シフト）,28906875.0,8086562.5,28255837.5,64.2375,×
楽観（toC特化成功）,ベースケース,68121000.0,25216037.5,65336625.0,151.38,○
楽観（toC特化成功）,シナリオA（S1特化）,77949000.0,29708837.5,76568625.0,173.22,○
楽観（toC特化成功）,シナリオB（ボリューム）,79785000.0,30214750.0,74416725.0,177.29999999999998,○
楽観（toC特化成功）,シナリオC（価格帯シフト）,76874062.5,29776843.75,74859187.5,170.83124999999998,○
